,Question,Iteration,R
228,Wakefulness,28,0.2750
229,Wakefulness,29,0.2759
230,Wakefulness,30,0.2384
231,Wakefulness,31,0.2788
232,Wakefulness,32,0.2928
233,Wakefulness,33,0.2760
234,Wakefulness,34,0.2939
235,Wakefulness,35,0.2925
236,Wakefulness,36,0.2763
237,Wakefulness,37,0.2896
238,Wakefulness,38,0.2941
239,Wakefulness,39,0.2875
240,Wakefulness,40,0.2808
241,Wakefulness,41,0.3013
242,Wakefulness,42,0.2851
243,Wakefulness,43,0.2915
244,Wakefulness,44,0.2831
245,Wakefulness,45,0.2891
246,Wakefulness,46,0.2473
247,Wakefulness,47,0.2842
248,Wakefulness,48,0.2668
249,Wakefulness,49,0.2684
250,Wakefulness,50,0.2737
251,Wakefulness,51,0.2545
252,Wakefulness,52,0.2769
253,Wakefulness,53,0.2618
254,Wakefulness,54,0.2606
255,Wakefulness,55,0.2927
256,Wakefulness,56,0.2923
257,Wakefulness,57,0.2924
258,Wakefulness,58,0.2851
259,Wakefulness,59,0.2733
260,Wakefulness,60,0.3032
261,Wakefulness,61,0.2703
262,Wakefulness,62,0.3012
263,Wakefulness,63,0.2874
264,Wakefulness,64,0.2782
265,Wakefulness,65,0.2812
266,Wakefulness,66,0.2575
267,Wakefulness,67,0.3046
268,Wakefulness,68,0.2934
269,Wakefulness,69,0.2844
270,Wakefulness,70,0.2674
271,Wakefulness,71,0.2758
272,Wakefulness,72,0.2958
273,Wakefulness,73,0.2780
274,Wakefulness,74,0.2581
275,Wakefulness,75,0.2821
276,Wakefulness,76,0.2696
277,Wakefulness,77,0.2986
278,Wakefulness,78,0.3016
279,Wakefulness,79,0.2804
280,Wakefulness,80,0.3079
281,Wakefulness,81,0.2886
282,Wakefulness,82,0.2657
283,Wakefulness,83,0.2757
284,Wakefulness,84,0.2859
285,Wakefulness,85,0.2600
286,Wakefulness,86,0.2776
287,Wakefulness,87,0.2892
288,Wakefulness,88,0.2541
289,Wakefulness,89,0.2542
290,Wakefulness,90,0.2772
291,Wakefulness,91,0.2912
292,Wakefulness,92,0.2744
293,Wakefulness,93,0.2629
294,Wakefulness,94,0.2831
295,Wakefulness,95,0.3065
296,Wakefulness,96,0.2649
297,Wakefulness,97,0.2748
298,Wakefulness,98,0.2777
299,Wakefulness,99,0.2866
300,Images,0,0.1375
301,Images,1,0.1659
302,Images,2,0.1226
303,Images,3,0.1629
304,Images,4,0.1112
305,Images,5,0.1783
306,Images,6,0.1557
307,Images,7,0.1681
308,Images,8,0.1271
309,Images,9,0.1420
310,Images,10,0.0937
311,Images,11,0.1282
312,Images,12,0.1465
313,Images,13,0.1314
314,Images,14,0.1595
315,Images,15,0.1508
316,Images,16,0.1450
317,Images,17,0.1699
318,Images,18,0.1657
319,Images,19,0.1330
320,Images,20,0.1371
321,Images,21,0.1453
322,Images,22,0.1518
323,Images,23,0.1418
324,Images,24,0.1369
325,Images,25,0.1456
326,Images,26,0.1624
327,Images,27,0.1477
328,Images,28,0.1211
329,Images,29,0.1804
330,Images,30,0.1592
331,Images,31,0.1409
332,Images,32,0.1406
333,Images,33,0.1892
334,Images,34,0.1288
335,Images,35,0.1906
336,Images,36,0.1308
337,Images,37,0.1430
338,Images,38,0.1829
339,Images,39,0.1643
340,Images,40,0.1628
341,Images,41,0.1381
342,Images,42,0.1083
343,Images,43,0.1525
344,Images,44,0.1276
345,Images,45,0.1658
346,Images,46,0.1342
347,Images,47,0.1233
348,Images,48,0.1693
349,Images,49,0.1553
350,Images,50,0.1742
351,Images,51,0.1618
352,Images,52,0.1470
353,Images,53,0.1787
354,Images,54,0.1242
355,Images,55,0.1138
356,Images,56,0.1287
357,Images,57,0.1588
358,Images,58,0.1172
359,Images,59,0.1518
360,Images,60,0.1178
361,Images,61,0.1747
362,Images,62,0.1272
363,Images,63,0.1745
364,Images,64,0.1581
365,Images,65,0.1286
366,Images,66,0.1244
367,Images,67,0.1694
368,Images,68,0.1662
369,Images,69,0.1531
370,Images,70,0.1465
371,Images,71,0.1402
372,Images,72,0.1388
373,Images,73,0.1380
374,Images,74,0.1223
375,Images,75,0.1884
376,Images,76,0.1582
377,Images,77,0.1626
378,Images,78,0.1461
379,Images,79,0.1740
380,Images,80,0.1392
381,Images,81,0.1396
382,Images,82,0.1200
383,Images,83,0.1399
384,Images,84,0.1169
385,Images,85,0.1839
386,Images,86,0.1345
387,Images,87,0.1281
388,Images,88,0.1442
389,Images,89,0.1687
390,Images,90,0.1075
391,Images,91,0.1424
392,Images,92,0.1380
393,Images,93,0.1662
394,Images,94,0.1316
395,Images,95,0.1295
396,Images,96,0.1715
397,Images,97,0.1764
398,Images,98,0.1316
399,Images,99,0.1308
400,Words,0,0.0645
401,Words,1,0.1183
402,Words,2,0.0761
403,Words,3,0.1073
404,Words,4,0.0166
405,Words,5,0.1084
406,Words,6,0.1002
407,Words,7,0.0718
408,Words,8,0.0731
409,Words,9,0.0550
410,Words,10,0.1044
411,Words,11,0.0743
412,Words,12,0.0256
413,Words,13,0.0581
414,Words,14,0.1480
415,Words,15,0.0738
416,Words,16,0.1289
417,Words,17,0.0719
418,Words,18,0.1005
419,Words,19,0.0684
420,Words,20,0.0694
421,Words,21,0.0802
422,Words,22,0.0790
423,Words,23,0.0708
424,Words,24,0.0719
425,Words,25,0.0731
426,Words,26,0.0549
427,Words,27,0.1413
428,Words,28,0.1480
429,Words,29,0.0809
430,Words,30,0.0777
431,Words,31,0.0654
432,Words,32,0.0573
433,Words,33,0.0691
434,Words,34,0.0561
435,Words,35,0.1052
436,Words,36,0.0564
437,Words,37,0.0891
438,Words,38,0.0509
439,Words,39,0.1261
440,Words,40,0.1185
441,Words,41,0.1069
442,Words,42,0.1075
443,Words,43,0.1448
444,Words,44,0.1343
445,Words,45,0.0972
446,Words,46,0.1208
447,Words,47,0.0394
448,Words,48,0.0493
449,Words,49,0.0937
450,Words,50,0.0997
451,Words,51,0.0282
452,Words,52,0.1435
453,Words,53,0.0894
454,Words,54,0.0557
455,Words,55,0.0746
456,Words,56,0.0278
457,Words,57,0.0797
458,Words,58,0.0498
459,Words,59,0.0660
460,Words,60,0.0505
461,Words,61,0.0585
462,Words,62,0.0650
463,Words,63,0.0618
464,Words,64,0.0516
465,Words,65,0.0554
466,Words,66,0.0537
467,Words,67,0.0422
468,Words,68,0.1198
469,Words,69,0.0458
470,Words,70,0.0521
471,Words,71,0.1185
472,Words,72,0.0882
473,Words,73,0.0956
474,Words,74,0.1136
475,Words,75,0.1093
476,Words,76,0.0967
477,Words,77,0.1154
478,Words,78,0.0953
479,Words,79,0.0616
480,Words,80,0.0353
481,Words,81,0.0177
482,Words,82,0.0832
483,Words,83,0.1072
484,Words,84,0.0596
485,Words,85,0.0612
486,Words,86,0.0675
487,Words,87,0.0624
488,Words,88,0.0609
489,Words,89,0.0528
490,Words,90,0.0719
491,Words,91,0.1090
492,Words,92,0.0807
493,Words,93,0.0879
494,Words,94,0.0418
495,Words,95,0.0415
496,Words,96,0.1067
497,Words,97,0.1100
498,Words,98,0.0441
499,Words,99,0.0528
500,People,0,0.1344
501,People,1,0.1047
502,People,2,0.1013
503,People,3,0.1053
504,People,4,0.0693
505,People,5,0.1291
506,People,6,0.1051
507,People,7,0.1075
508,People,8,0.1352
509,People,9,0.1136
510,People,10,0.0699
511,People,11,0.1231
512,People,12,0.1278
513,People,13,0.0286
514,People,14,0.1193
515,People,15,0.0665
516,People,16,0.1734
517,People,17,0.0801
518,People,18,0.1140
519,People,19,0.1257
520,People,20,0.1257
521,People,21,0.0957
522,People,22,0.1337
523,People,23,0.1288
524,People,24,0.0862
525,People,25,0.1046
526,People,26,0.1248
527,People,27,0.1287
528,People,28,0.1181
529,People,29,0.1275
530,People,30,0.1335
531,People,31,0.1154
532,People,32,0.1345
533,People,33,0.1136
534,People,34,0.1453
535,People,35,0.0884
536,People,36,0.0993
537,People,37,0.1217
538,People,38,0.0841
539,People,39,0.1157
540,People,40,0.1013
541,People,41,0.1010
542,People,42,0.1064
543,People,43,0.0750
544,People,44,0.1080
545,People,45,0.1159
546,People,46,0.1032
547,People,47,0.1283
548,People,48,0.1209
549,People,49,0.0982
550,People,50,0.0898
551,People,51,0.1810
552,People,52,0.1268
553,People,53,0.1608
554,People,54,0.1049
555,People,55,0.0711
556,People,56,0.1010
557,People,57,0.1115
558,People,58,0.1180
559,People,59,0.1143
560,People,60,0.1211
561,People,61,0.0912
562,People,62,0.0909
563,People,63,0.1350
564,People,64,0.0917
565,People,65,0.0987
566,People,66,0.0134
567,People,67,0.0966
568,People,68,0.0842
569,People,69,0.1163
570,People,70,0.1007
571,People,71,0.0557
572,People,72,0.0812
573,People,73,0.1109
574,People,74,0.0979
575,People,75,0.0802
576,People,76,0.0947
577,People,77,0.0694
578,People,78,0.1228
579,People,79,0.0785
580,People,80,0.0728
581,People,81,0.0798
582,People,82,0.1137
583,People,83,0.1196
584,People,84,0.1000
585,People,85,0.0922
586,People,86,0.0853
587,People,87,0.0831
588,People,88,0.1042
589,People,89,0.1077
590,People,90,0.1263
591,People,91,0.1131
592,People,92,0.0865
593,People,93,0.1056
594,People,94,0.1170
595,People,95,0.0804
596,People,96,0.0780
597,People,97,0.0714
598,People,98,0.0657
599,People,99,0.0902
600,Myself,0,-0.0043
601,Myself,1,0.0274
602,Myself,2,0.0192
603,Myself,3,0.0337
604,Myself,4,0.0065
605,Myself,5,0.0710
606,Myself,6,0.0047
607,Myself,7,0.0145
608,Myself,8,0.0189
609,Myself,9,0.0052
610,Myself,10,0.0405
611,Myself,11,0.0465
612,Myself,12,-0.0381
613,Myself,13,0.0196
614,Myself,14,-0.0127
615,Myself,15,0.0256
616,Myself,16,0.0292
617,Myself,17,0.0608
618,Myself,18,0.0036
619,Myself,19,0.1096
620,Myself,20,0.1055
621,Myself,21,0.0495
622,Myself,22,0.0226
623,Myself,23,0.0293
624,Myself,24,0.0669
625,Myself,25,-0.0056
626,Myself,26,-0.0384
627,Myself,27,0.0731
628,Myself,28,0.0433
629,Myself,29,0.0769
630,Myself,30,0.0510
631,Myself,31,-0.0348
632,Myself,32,0.0422
633,Myself,33,0.0402
634,Myself,34,0.0550
635,Myself,35,0.0596
636,Myself,36,0.1001
637,Myself,37,0.0324
638,Myself,38,-0.0315
639,Myself,39,0.0031
640,Myself,40,0.0683
641,Myself,41,0.0253
642,Myself,42,-0.0224
643,Myself,43,0.0258
644,Myself,44,0.0376
645,Myself,45,0.0681
646,Myself,46,0.0493
647,Myself,47,0.0205
648,Myself,48,0.0201
649,Myself,49,0.0260
650,Myself,50,0.0317
651,Myself,51,0.0171
652,Myself,52,0.0772
653,Myself,53,0.0562
654,Myself,54,0.0308
655,Myself,55,0.0443
656,Myself,56,0.1153
657,Myself,57,0.0169
658,Myself,58,0.0140
659,Myself,59,-0.0215
660,Myself,60,0.0291
661,Myself,61,0.0591
662,Myself,62,0.0301
663,Myself,63,0.0063
664,Myself,64,-0.0290
665,Myself,65,-0.0184
666,Myself,66,0.0633
667,Myself,67,0.0312
668,Myself,68,0.0380
669,Myself,69,-0.0019
670,Myself,70,0.0451
671,Myself,71,0.0971
672,Myself,72,0.0219
673,Myself,73,0.0098
674,Myself,74,0.0376
675,Myself,75,0.0291
676,Myself,76,-0.0206
677,Myself,77,0.0288
678,Myself,78,0.0030
679,Myself,79,-0.0328
680,Myself,80,0.0504
681,Myself,81,0.0082
682,Myself,82,0.0089
683,Myself,83,-0.0146
684,Myself,84,0.0620
685,Myself,85,0.0310
686,Myself,86,0.0431
687,Myself,87,0.0339
688,Myself,88,0.0601
689,Myself,89,0.0099
690,Myself,90,0.0353
691,Myself,91,0.0404
692,Myself,92,0.0361
693,Myself,93,0.0186
694,Myself,94,-0.0267
695,Myself,95,0.0415
696,Myself,96,0.0548
697,Myself,97,-0.0069
698,Myself,98,0.0343
699,Myself,99,0.0088
700,Positive,0,-0.0018
701,Positive,1,0.0350
702,Positive,2,0.0275
703,Positive,3,-0.0500
704,Positive,4,-0.0473
705,Positive,5,0.0119
706,Positive,6,-0.0712
707,Positive,7,0.0435
708,Positive,8,0.0254
709,Positive,9,-0.0246
710,Positive,10,-0.0398
711,Positive,11,-0.0184
712,Positive,12,0.0312
713,Positive,13,0.0473
714,Positive,14,-0.0018
715,Positive,15,-0.0221
716,Positive,16,-0.0162
717,Positive,17,0.0034
718,Positive,18,0.0124
719,Positive,19,-0.0610
720,Positive,20,-0.0725
721,Positive,21,0.0146
722,Positive,22,-0.0078
723,Positive,23,0.0025
724,Positive,24,0.0289
725,Positive,25,0.0247
726,Positive,26,0.0008
727,Positive,27,-0.0022
728,Positive,28,-0.0466
729,Positive,29,-0.0385
730,Positive,30,-0.0070
731,Positive,31,-0.0383
732,Positive,32,-0.0330
733,Positive,33,-0.0152
734,Positive,34,-0.0665
735,Positive,35,-0.0668
736,Positive,36,0.0083
737,Positive,37,-0.0050
738,Positive,38,0.0152
739,Positive,39,0.0157
740,Positive,40,0.0393
741,Positive,41,-0.0603
742,Positive,42,0.0068
743,Positive,43,-0.0730
744,Positive,44,-0.0359
745,Positive,45,0.0101
746,Positive,46,-0.0321
747,Positive,47,-0.0326
748,Positive,48,0.0158
749,Positive,49,-0.0255
750,Positive,50,-0.0067
751,Positive,51,-0.0103
752,Positive,52,0.0002
753,Positive,53,-0.0154
754,Positive,54,-0.0667
755,Positive,55,-0.0643
756,Positive,56,-0.0348
757,Positive,57,-0.0110
758,Positive,58,0.0474
759,Positive,59,-0.0135
760,Positive,60,-0.0439
761,Positive,61,0.0001
762,Positive,62,-0.0154
763,Positive,63,-0.0123
764,Positive,64,-0.0171
765,Positive,65,-0.0481
766,Positive,66,0.0349
767,Positive,67,-0.0174
768,Positive,68,-0.0036
769,Positive,69,-0.0331
770,Positive,70,-0.0369
771,Positive,71,0.0033
772,Positive,72,-0.0371
773,Positive,73,-0.0413
774,Positive,74,0.0087
775,Positive,75,0.0120
776,Positive,76,0.0277
777,Positive,77,-0.0084
778,Positive,78,-0.0171
779,Positive,79,0.0082
780,Positive,80,-0.0512
781,Positive,81,-0.0558
782,Positive,82,0.0161
783,Positive,83,-0.0253
784,Positive,84,-0.0203
785,Positive,85,-0.0238
786,Positive,86,-0.0347
787,Positive,87,-0.0225
788,Positive,88,-0.0342
789,Positive,89,0.0190
790,Positive,90,-0.0303
791,Positive,91,-0.0100
792,Positive,92,-0.0589
793,Positive,93,0.0160
794,Positive,94,-0.0305
795,Positive,95,-0.0019
796,Positive,96,0.0064
797,Positive,97,-0.0336
798,Positive,98,-0.0343
799,Positive,99,0.0182
800,Negative,0,0.0996
801,Negative,1,0.1078
802,Negative,2,0.0899
803,Negative,3,0.0704
804,Negative,4,0.0485
805,Negative,5,0.1196
806,Negative,6,0.0853
807,Negative,7,0.0671
808,Negative,8,0.0568
809,Negative,9,0.1003
810,Negative,10,0.0896
811,Negative,11,0.0811
812,Negative,12,0.1080
813,Negative,13,0.0217
814,Negative,14,0.1279
815,Negative,15,0.1173
816,Negative,16,0.1208
817,Negative,17,0.1023
818,Negative,18,0.1001
819,Negative,19,0.0531
820,Negative,20,0.0355
821,Negative,21,0.0932
822,Negative,22,0.0531
823,Negative,23,0.0549
824,Negative,24,0.1454
825,Negative,25,0.0721
826,Negative,26,0.0349
827,Negative,27,0.0369
828,Negative,28,0.1064
829,Negative,29,0.0339
830,Negative,30,0.0880
831,Negative,31,0.1079
832,Negative,32,0.0897
833,Negative,33,0.0631
834,Negative,34,0.1187
835,Negative,35,0.1237
836,Negative,36,0.0654
837,Negative,37,0.0703
838,Negative,38,0.0499
839,Negative,39,0.0501
840,Negative,40,0.0759
841,Negative,41,0.0873
842,Negative,42,0.1247
843,Negative,43,0.0359
844,Negative,44,0.0781
845,Negative,45,0.1028
846,Negative,46,0.0985
847,Negative,47,0.0831
848,Negative,48,0.0884
849,Negative,49,0.0854
850,Negative,50,0.1008
851,Negative,51,0.0618
852,Negative,52,0.1036
853,Negative,53,0.1266
854,Negative,54,0.0392
855,Negative,55,0.0570
856,Negative,56,0.0975
857,Negative,57,0.0642
858,Negative,58,0.0948
859,Negative,59,0.1085
860,Negative,60,0.1230
861,Negative,61,0.0940
862,Negative,62,0.0887
863,Negative,63,0.0520
864,Negative,64,0.1122
865,Negative,65,0.0894
866,Negative,66,0.1441
867,Negative,67,0.0803
868,Negative,68,0.1228
869,Negative,69,0.1195
870,Negative,70,0.0815
871,Negative,71,0.0704
872,Negative,72,0.1330
873,Negative,73,0.0998
874,Negative,74,0.1257
875,Negative,75,0.0714
876,Negative,76,0.0735
877,Negative,77,0.0692
878,Negative,78,0.0688
879,Negative,79,0.0731
880,Negative,80,0.1148
881,Negative,81,0.0400
882,Negative,82,0.1140
883,Negative,83,0.1349
884,Negative,84,0.1033
885,Negative,85,0.0617
886,Negative,86,0.0566
887,Negative,87,0.1249
888,Negative,88,0.1131
889,Negative,89,0.0831
890,Negative,90,0.0517
891,Negative,91,0.1198
892,Negative,92,0.0548
893,Negative,93,0.0781
894,Negative,94,0.1055
895,Negative,95,0.0817
896,Negative,96,0.0430
897,Negative,97,0.0795
898,Negative,98,0.0731
899,Negative,99,0.0647
900,Surroundings,0,0.1604
901,Surroundings,1,0.2012
902,Surroundings,2,0.1616
903,Surroundings,3,0.1750
904,Surroundings,4,0.1647
905,Surroundings,5,0.1553
906,Surroundings,6,0.1503
907,Surroundings,7,0.1743
908,Surroundings,8,0.1579
909,Surroundings,9,0.1665
910,Surroundings,10,0.1149
911,Surroundings,11,0.1448
912,Surroundings,12,0.1451
913,Surroundings,13,0.1446
914,Surroundings,14,0.1564
915,Surroundings,15,0.1584
916,Surroundings,16,0.1705
917,Surroundings,17,0.1637
918,Surroundings,18,0.1267
919,Surroundings,19,0.1361
920,Surroundings,20,0.1449
921,Surroundings,21,0.1755
922,Surroundings,22,0.1892
923,Surroundings,23,0.1848
924,Surroundings,24,0.1679
925,Surroundings,25,0.1358
926,Surroundings,26,0.1145
927,Surroundings,27,0.1748
928,Surroundings,28,0.1797
929,Surroundings,29,0.1327
930,Surroundings,30,0.1975
931,Surroundings,31,0.1248
932,Surroundings,32,0.1362
933,Surroundings,33,0.1678
934,Surroundings,34,0.1784
935,Surroundings,35,0.1501
936,Surroundings,36,0.1945
937,Surroundings,37,0.1615
938,Surroundings,38,0.1980
939,Surroundings,39,0.1756
940,Surroundings,40,0.2068
941,Surroundings,41,0.1840
942,Surroundings,42,0.1540
943,Surroundings,43,0.1245
944,Surroundings,44,0.1280
945,Surroundings,45,0.1476
946,Surroundings,46,0.1592
947,Surroundings,47,0.1651
948,Surroundings,48,0.1809
949,Surroundings,49,0.1740
950,Surroundings,50,0.1570
951,Surroundings,51,0.1621
952,Surroundings,52,0.2043
953,Surroundings,53,0.1607
954,Surroundings,54,0.1773
955,Surroundings,55,0.1449
956,Surroundings,56,0.1726
957,Surroundings,57,0.1551
958,Surroundings,58,0.1987
959,Surroundings,59,0.1821
960,Surroundings,60,0.1969
961,Surroundings,61,0.2003
962,Surroundings,62,0.2035
963,Surroundings,63,0.1773
964,Surroundings,64,0.1780
965,Surroundings,65,0.1616
966,Surroundings,66,0.1916
967,Surroundings,67,0.1515
968,Surroundings,68,0.1646
969,Surroundings,69,0.1697
970,Surroundings,70,0.1862
971,Surroundings,71,0.1321
972,Surroundings,72,0.1681
