,Question,Iteration,R
222,Wakefulness,22,0.4352
223,Wakefulness,23,0.4339
224,Wakefulness,24,0.4318
225,Wakefulness,25,0.4376
226,Wakefulness,26,0.4350
227,Wakefulness,27,0.4368
228,Wakefulness,28,0.4308
229,Wakefulness,29,0.4422
230,Wakefulness,30,0.4257
231,Wakefulness,31,0.4368
232,Wakefulness,32,0.4324
233,Wakefulness,33,0.4431
234,Wakefulness,34,0.4296
235,Wakefulness,35,0.4461
236,Wakefulness,36,0.4411
237,Wakefulness,37,0.4342
238,Wakefulness,38,0.4327
239,Wakefulness,39,0.4426
240,Wakefulness,40,0.4282
241,Wakefulness,41,0.4385
242,Wakefulness,42,0.4446
243,Wakefulness,43,0.4468
244,Wakefulness,44,0.4385
245,Wakefulness,45,0.4391
246,Wakefulness,46,0.4477
247,Wakefulness,47,0.4370
248,Wakefulness,48,0.4420
249,Wakefulness,49,0.4323
250,Wakefulness,50,0.4452
251,Wakefulness,51,0.4269
252,Wakefulness,52,0.4480
253,Wakefulness,53,0.4309
254,Wakefulness,54,0.4393
255,Wakefulness,55,0.4413
256,Wakefulness,56,0.4448
257,Wakefulness,57,0.4372
258,Wakefulness,58,0.4432
259,Wakefulness,59,0.4322
260,Wakefulness,60,0.4299
261,Wakefulness,61,0.4357
262,Wakefulness,62,0.4325
263,Wakefulness,63,0.4475
264,Wakefulness,64,0.4356
265,Wakefulness,65,0.4400
266,Wakefulness,66,0.4482
267,Wakefulness,67,0.4328
268,Wakefulness,68,0.4432
269,Wakefulness,69,0.4435
270,Wakefulness,70,0.4413
271,Wakefulness,71,0.4311
272,Wakefulness,72,0.4379
273,Wakefulness,73,0.4363
274,Wakefulness,74,0.4442
275,Wakefulness,75,0.4383
276,Wakefulness,76,0.4345
277,Wakefulness,77,0.4478
278,Wakefulness,78,0.4484
279,Wakefulness,79,0.4388
280,Wakefulness,80,0.4327
281,Wakefulness,81,0.4212
282,Wakefulness,82,0.4511
283,Wakefulness,83,0.4389
284,Wakefulness,84,0.4375
285,Wakefulness,85,0.4351
286,Wakefulness,86,0.4482
287,Wakefulness,87,0.4338
288,Wakefulness,88,0.4481
289,Wakefulness,89,0.4432
290,Wakefulness,90,0.4434
291,Wakefulness,91,0.4405
292,Wakefulness,92,0.4378
293,Wakefulness,93,0.4350
294,Wakefulness,94,0.4461
295,Wakefulness,95,0.4400
296,Wakefulness,96,0.4363
297,Wakefulness,97,0.4409
298,Wakefulness,98,0.4415
299,Wakefulness,99,0.4423
300,Images,0,0.3586
301,Images,1,0.3698
302,Images,2,0.3744
303,Images,3,0.3636
304,Images,4,0.3861
305,Images,5,0.3495
306,Images,6,0.3917
307,Images,7,0.3548
308,Images,8,0.3604
309,Images,9,0.3589
310,Images,10,0.3633
311,Images,11,0.3664
312,Images,12,0.3882
313,Images,13,0.3692
314,Images,14,0.3657
315,Images,15,0.3642
316,Images,16,0.3621
317,Images,17,0.3723
318,Images,18,0.3807
319,Images,19,0.3701
320,Images,20,0.3526
321,Images,21,0.3739
322,Images,22,0.3681
323,Images,23,0.3528
324,Images,24,0.3748
325,Images,25,0.3473
326,Images,26,0.3738
327,Images,27,0.3788
328,Images,28,0.3798
329,Images,29,0.3805
330,Images,30,0.3640
331,Images,31,0.3623
332,Images,32,0.3819
333,Images,33,0.3726
334,Images,34,0.3573
335,Images,35,0.3661
336,Images,36,0.3655
337,Images,37,0.3654
338,Images,38,0.3697
339,Images,39,0.3548
340,Images,40,0.3498
341,Images,41,0.3337
342,Images,42,0.3784
343,Images,43,0.3379
344,Images,44,0.3700
345,Images,45,0.3667
346,Images,46,0.3680
347,Images,47,0.3471
348,Images,48,0.3847
349,Images,49,0.3693
350,Images,50,0.3901
351,Images,51,0.3811
352,Images,52,0.3589
353,Images,53,0.3515
354,Images,54,0.3677
355,Images,55,0.3641
356,Images,56,0.3503
357,Images,57,0.3415
358,Images,58,0.3615
359,Images,59,0.3663
360,Images,60,0.3975
361,Images,61,0.3699
362,Images,62,0.3633
363,Images,63,0.3782
364,Images,64,0.3398
365,Images,65,0.3441
366,Images,66,0.3676
367,Images,67,0.3632
368,Images,68,0.3799
369,Images,69,0.3516
370,Images,70,0.3457
371,Images,71,0.3698
372,Images,72,0.3630
373,Images,73,0.3462
374,Images,74,0.3746
375,Images,75,0.3637
376,Images,76,0.3611
377,Images,77,0.3662
378,Images,78,0.3753
379,Images,79,0.3635
380,Images,80,0.3508
381,Images,81,0.3649
382,Images,82,0.3566
383,Images,83,0.3683
384,Images,84,0.3791
385,Images,85,0.3705
386,Images,86,0.3769
387,Images,87,0.3371
388,Images,88,0.3832
389,Images,89,0.3749
390,Images,90,0.3410
391,Images,91,0.3489
392,Images,92,0.3834
393,Images,93,0.3655
394,Images,94,0.3661
395,Images,95,0.3501
396,Images,96,0.3922
397,Images,97,0.3734
398,Images,98,0.3719
399,Images,99,0.3782
400,Words,0,0.4306
401,Words,1,0.4167
402,Words,2,0.4228
403,Words,3,0.4219
404,Words,4,0.4191
405,Words,5,0.4328
406,Words,6,0.4426
407,Words,7,0.4415
408,Words,8,0.4039
409,Words,9,0.4358
410,Words,10,0.4503
411,Words,11,0.4469
412,Words,12,0.4500
413,Words,13,0.4162
414,Words,14,0.4579
415,Words,15,0.4543
416,Words,16,0.4545
417,Words,17,0.4451
418,Words,18,0.4057
419,Words,19,0.4335
420,Words,20,0.4316
421,Words,21,0.4417
422,Words,22,0.4078
423,Words,23,0.4199
424,Words,24,0.3922
425,Words,25,0.4365
426,Words,26,0.4366
427,Words,27,0.4430
428,Words,28,0.3895
429,Words,29,0.4555
430,Words,30,0.4043
431,Words,31,0.4362
432,Words,32,0.4328
433,Words,33,0.4244
434,Words,34,0.4256
435,Words,35,0.4120
436,Words,36,0.4579
437,Words,37,0.4232
438,Words,38,0.4216
439,Words,39,0.4537
440,Words,40,0.4475
441,Words,41,0.4132
442,Words,42,0.4390
443,Words,43,0.4369
444,Words,44,0.4448
445,Words,45,0.4401
446,Words,46,0.4258
447,Words,47,0.4161
448,Words,48,0.4342
449,Words,49,0.4389
450,Words,50,0.4328
451,Words,51,0.4641
452,Words,52,0.4223
453,Words,53,0.4248
454,Words,54,0.4359
455,Words,55,0.4372
456,Words,56,0.4281
457,Words,57,0.4442
458,Words,58,0.4465
459,Words,59,0.4382
460,Words,60,0.4629
461,Words,61,0.4247
462,Words,62,0.4331
463,Words,63,0.4369
464,Words,64,0.4324
465,Words,65,0.4557
466,Words,66,0.4492
467,Words,67,0.4337
468,Words,68,0.4662
469,Words,69,0.4216
470,Words,70,0.4381
471,Words,71,0.4172
472,Words,72,0.4474
473,Words,73,0.4354
474,Words,74,0.4255
475,Words,75,0.4516
476,Words,76,0.4229
477,Words,77,0.4185
478,Words,78,0.4433
479,Words,79,0.4675
480,Words,80,0.4251
481,Words,81,0.4137
482,Words,82,0.4310
483,Words,83,0.4523
484,Words,84,0.4119
485,Words,85,0.4162
486,Words,86,0.4436
487,Words,87,0.4456
488,Words,88,0.4244
489,Words,89,0.4587
490,Words,90,0.4196
491,Words,91,0.4066
492,Words,92,0.4471
493,Words,93,0.4304
494,Words,94,0.4568
495,Words,95,0.4366
496,Words,96,0.4361
497,Words,97,0.4514
498,Words,98,0.4402
499,Words,99,0.4217
500,People,0,0.3443
501,People,1,0.3250
502,People,2,0.3428
503,People,3,0.3401
504,People,4,0.3301
505,People,5,0.3154
506,People,6,0.3198
507,People,7,0.3412
508,People,8,0.3379
509,People,9,0.3292
510,People,10,0.3013
511,People,11,0.3260
512,People,12,0.3421
513,People,13,0.3139
514,People,14,0.3285
515,People,15,0.3255
516,People,16,0.3270
517,People,17,0.2903
518,People,18,0.3244
519,People,19,0.3452
520,People,20,0.3099
521,People,21,0.3206
522,People,22,0.2863
523,People,23,0.2919
524,People,24,0.2953
525,People,25,0.3068
526,People,26,0.3184
527,People,27,0.3090
528,People,28,0.2975
529,People,29,0.3145
530,People,30,0.2818
531,People,31,0.3340
532,People,32,0.3247
533,People,33,0.3431
534,People,34,0.3209
535,People,35,0.3424
536,People,36,0.3092
537,People,37,0.3386
538,People,38,0.3088
539,People,39,0.3363
540,People,40,0.3032
541,People,41,0.3162
542,People,42,0.3431
543,People,43,0.3376
544,People,44,0.3192
545,People,45,0.3027
546,People,46,0.3123
547,People,47,0.3207
548,People,48,0.3250
549,People,49,0.3262
550,People,50,0.3000
551,People,51,0.3149
552,People,52,0.3098
553,People,53,0.3006
554,People,54,0.3296
555,People,55,0.3105
556,People,56,0.3456
557,People,57,0.3095
558,People,58,0.3107
559,People,59,0.3232
560,People,60,0.3316
561,People,61,0.3138
562,People,62,0.3426
563,People,63,0.3230
564,People,64,0.3283
565,People,65,0.3388
566,People,66,0.3112
567,People,67,0.3361
568,People,68,0.3532
569,People,69,0.3169
570,People,70,0.3360
571,People,71,0.3304
572,People,72,0.3430
573,People,73,0.3141
574,People,74,0.3443
575,People,75,0.3168
576,People,76,0.3091
577,People,77,0.3435
578,People,78,0.3319
579,People,79,0.3180
580,People,80,0.3365
581,People,81,0.3130
582,People,82,0.3088
583,People,83,0.3257
584,People,84,0.3035
585,People,85,0.3166
586,People,86,0.3286
587,People,87,0.3351
588,People,88,0.3257
589,People,89,0.3139
590,People,90,0.3392
591,People,91,0.3243
592,People,92,0.3130
593,People,93,0.2898
594,People,94,0.3339
595,People,95,0.3284
596,People,96,0.3171
597,People,97,0.3339
598,People,98,0.3426
599,People,99,0.3045
600,Myself,0,0.3235
601,Myself,1,0.3740
602,Myself,2,0.3096
603,Myself,3,0.3079
604,Myself,4,0.3191
605,Myself,5,0.3406
606,Myself,6,0.3453
607,Myself,7,0.3029
608,Myself,8,0.3229
609,Myself,9,0.3435
610,Myself,10,0.3219
611,Myself,11,0.3124
612,Myself,12,0.3200
613,Myself,13,0.3296
614,Myself,14,0.3304
615,Myself,15,0.3499
616,Myself,16,0.3457
617,Myself,17,0.3006
618,Myself,18,0.3016
619,Myself,19,0.3301
620,Myself,20,0.3167
621,Myself,21,0.3316
622,Myself,22,0.3100
623,Myself,23,0.3356
624,Myself,24,0.3170
625,Myself,25,0.3361
626,Myself,26,0.3297
627,Myself,27,0.3476
628,Myself,28,0.3037
629,Myself,29,0.3493
630,Myself,30,0.3121
631,Myself,31,0.3233
632,Myself,32,0.3393
633,Myself,33,0.2939
634,Myself,34,0.3193
635,Myself,35,0.3218
636,Myself,36,0.3127
637,Myself,37,0.3438
638,Myself,38,0.3384
639,Myself,39,0.3248
640,Myself,40,0.3549
641,Myself,41,0.3217
642,Myself,42,0.3316
643,Myself,43,0.3521
644,Myself,44,0.3490
645,Myself,45,0.3767
646,Myself,46,0.2824
647,Myself,47,0.3199
648,Myself,48,0.3452
649,Myself,49,0.3704
650,Myself,50,0.3374
651,Myself,51,0.3628
652,Myself,52,0.3198
653,Myself,53,0.3468
654,Myself,54,0.3547
655,Myself,55,0.3162
656,Myself,56,0.3507
657,Myself,57,0.3237
658,Myself,58,0.3495
659,Myself,59,0.3648
660,Myself,60,0.3112
661,Myself,61,0.3438
662,Myself,62,0.3368
663,Myself,63,0.3403
664,Myself,64,0.3427
665,Myself,65,0.3245
666,Myself,66,0.3397
667,Myself,67,0.3480
668,Myself,68,0.3313
669,Myself,69,0.3338
670,Myself,70,0.3075
671,Myself,71,0.3158
672,Myself,72,0.3102
673,Myself,73,0.3357
674,Myself,74,0.3317
675,Myself,75,0.3247
676,Myself,76,0.3296
677,Myself,77,0.3034
678,Myself,78,0.2989
679,Myself,79,0.3119
680,Myself,80,0.3188
681,Myself,81,0.3413
682,Myself,82,0.3544
683,Myself,83,0.3086
684,Myself,84,0.3519
685,Myself,85,0.3223
686,Myself,86,0.3293
687,Myself,87,0.2911
688,Myself,88,0.3129
689,Myself,89,0.3275
690,Myself,90,0.3277
691,Myself,91,0.3201
692,Myself,92,0.3137
693,Myself,93,0.3354
694,Myself,94,0.3488
695,Myself,95,0.3187
696,Myself,96,0.3286
697,Myself,97,0.3199
698,Myself,98,0.3323
699,Myself,99,0.3201
700,Positive,0,0.3576
701,Positive,1,0.3593
702,Positive,2,0.3457
703,Positive,3,0.3287
704,Positive,4,0.3812
705,Positive,5,0.3567
706,Positive,6,0.3317
707,Positive,7,0.3653
708,Positive,8,0.3819
709,Positive,9,0.3658
710,Positive,10,0.3918
711,Positive,11,0.3731
712,Positive,12,0.3165
713,Positive,13,0.3708
714,Positive,14,0.3901
715,Positive,15,0.3683
716,Positive,16,0.3831
717,Positive,17,0.3450
718,Positive,18,0.3749
719,Positive,19,0.3835
720,Positive,20,0.3575
721,Positive,21,0.3696
722,Positive,22,0.3578
723,Positive,23,0.3581
724,Positive,24,0.3954
725,Positive,25,0.3686
726,Positive,26,0.3938
727,Positive,27,0.3572
728,Positive,28,0.3638
729,Positive,29,0.3830
730,Positive,30,0.3464
731,Positive,31,0.3644
732,Positive,32,0.3700
733,Positive,33,0.3722
734,Positive,34,0.3779
735,Positive,35,0.3897
736,Positive,36,0.3825
737,Positive,37,0.3975
738,Positive,38,0.3395
739,Positive,39,0.3662
740,Positive,40,0.3617
741,Positive,41,0.3398
742,Positive,42,0.3791
743,Positive,43,0.3608
744,Positive,44,0.4081
745,Positive,45,0.3468
746,Positive,46,0.3448
747,Positive,47,0.3934
748,Positive,48,0.3154
749,Positive,49,0.3782
750,Positive,50,0.3653
751,Positive,51,0.3446
752,Positive,52,0.3405
753,Positive,53,0.3728
754,Positive,54,0.3807
755,Positive,55,0.3522
756,Positive,56,0.3854
757,Positive,57,0.4026
758,Positive,58,0.3812
759,Positive,59,0.3828
760,Positive,60,0.3522
761,Positive,61,0.3543
762,Positive,62,0.3454
763,Positive,63,0.3695
764,Positive,64,0.3695
765,Positive,65,0.3468
766,Positive,66,0.3772
767,Positive,67,0.3923
768,Positive,68,0.3804
769,Positive,69,0.3991
770,Positive,70,0.3676
771,Positive,71,0.3768
772,Positive,72,0.3497
773,Positive,73,0.3843
774,Positive,74,0.3634
775,Positive,75,0.3465
776,Positive,76,0.3372
777,Positive,77,0.3465
778,Positive,78,0.3775
779,Positive,79,0.3525
780,Positive,80,0.3678
781,Positive,81,0.3617
782,Positive,82,0.3850
783,Positive,83,0.3530
784,Positive,84,0.3764
785,Positive,85,0.3694
786,Positive,86,0.3533
787,Positive,87,0.3656
788,Positive,88,0.3708
789,Positive,89,0.3706
790,Positive,90,0.3976
791,Positive,91,0.3778
792,Positive,92,0.3670
793,Positive,93,0.3592
794,Positive,94,0.3975
795,Positive,95,0.3365
796,Positive,96,0.3925
797,Positive,97,0.3639
798,Positive,98,0.3709
799,Positive,99,0.3579
800,Negative,0,0.3685
801,Negative,1,0.3292
802,Negative,2,0.3529
803,Negative,3,0.3558
804,Negative,4,0.3751
805,Negative,5,0.3540
806,Negative,6,0.3257
807,Negative,7,0.3381
808,Negative,8,0.3772
809,Negative,9,0.3517
810,Negative,10,0.3519
811,Negative,11,0.3464
812,Negative,12,0.3194
813,Negative,13,0.3650
814,Negative,14,0.3415
815,Negative,15,0.3551
816,Negative,16,0.3481
817,Negative,17,0.3651
818,Negative,18,0.3770
819,Negative,19,0.3792
820,Negative,20,0.3798
821,Negative,21,0.3522
822,Negative,22,0.3527
823,Negative,23,0.3460
824,Negative,24,0.3562
825,Negative,25,0.3395
826,Negative,26,0.3516
827,Negative,27,0.3620
828,Negative,28,0.3567
829,Negative,29,0.3428
830,Negative,30,0.3667
831,Negative,31,0.3425
832,Negative,32,0.3276
833,Negative,33,0.3681
834,Negative,34,0.3514
835,Negative,35,0.3488
836,Negative,36,0.3367
837,Negative,37,0.3533
838,Negative,38,0.3676
839,Negative,39,0.3534
840,Negative,40,0.3373
841,Negative,41,0.3405
842,Negative,42,0.3760
843,Negative,43,0.3702
844,Negative,44,0.3659
845,Negative,45,0.3213
846,Negative,46,0.3209
847,Negative,47,0.3472
848,Negative,48,0.3553
849,Negative,49,0.3542
850,Negative,50,0.3850
851,Negative,51,0.3506
852,Negative,52,0.3459
853,Negative,53,0.3711
854,Negative,54,0.3460
855,Negative,55,0.3334
856,Negative,56,0.3416
857,Negative,57,0.3582
858,Negative,58,0.3466
859,Negative,59,0.3441
860,Negative,60,0.3490
861,Negative,61,0.3112
862,Negative,62,0.3412
863,Negative,63,0.3533
864,Negative,64,0.3528
865,Negative,65,0.3617
866,Negative,66,0.3636
867,Negative,67,0.3420
868,Negative,68,0.3673
869,Negative,69,0.3565
870,Negative,70,0.3397
871,Negative,71,0.3509
872,Negative,72,0.3658
873,Negative,73,0.3636
874,Negative,74,0.3778
875,Negative,75,0.3738
876,Negative,76,0.3338
877,Negative,77,0.3473
878,Negative,78,0.3711
879,Negative,79,0.3599
880,Negative,80,0.3425
881,Negative,81,0.3362
882,Negative,82,0.3573
883,Negative,83,0.3511
884,Negative,84,0.3779
885,Negative,85,0.3609
886,Negative,86,0.3412
887,Negative,87,0.3738
888,Negative,88,0.3683
889,Negative,89,0.3803
890,Negative,90,0.3535
891,Negative,91,0.3783
892,Negative,92,0.3403
893,Negative,93,0.3629
894,Negative,94,0.3492
895,Negative,95,0.3582
896,Negative,96,0.3792
897,Negative,97,0.3438
898,Negative,98,0.3699
899,Negative,99,0.3629
900,Surroundings,0,0.3494
901,Surroundings,1,0.3547
902,Surroundings,2,0.3417
903,Surroundings,3,0.3345
904,Surroundings,4,0.3623
905,Surroundings,5,0.3509
906,Surroundings,6,0.3136
907,Surroundings,7,0.3413
908,Surroundings,8,0.3526
909,Surroundings,9,0.3478
910,Surroundings,10,0.3294
911,Surroundings,11,0.3513
912,Surroundings,12,0.3245
913,Surroundings,13,0.3294
914,Surroundings,14,0.3433
915,Surroundings,15,0.3467
916,Surroundings,16,0.3323
917,Surroundings,17,0.3528
918,Surroundings,18,0.3403
919,Surroundings,19,0.3548
920,Surroundings,20,0.3370
921,Surroundings,21,0.3241
922,Surroundings,22,0.3796
923,Surroundings,23,0.3459
924,Surroundings,24,0.3753
925,Surroundings,25,0.3293
926,Surroundings,26,0.3488
927,Surroundings,27,0.3585
928,Surroundings,28,0.3333
929,Surroundings,29,0.3597
930,Surroundings,30,0.3482
931,Surroundings,31,0.3537
932,Surroundings,32,0.3467
933,Surroundings,33,0.3299
934,Surroundings,34,0.3306
935,Surroundings,35,0.3490
936,Surroundings,36,0.3359
937,Surroundings,37,0.3394
938,Surroundings,38,0.3310
939,Surroundings,39,0.3519
940,Surroundings,40,0.3348
941,Surroundings,41,0.3152
942,Surroundings,42,0.3597
943,Surroundings,43,0.3449
944,Surroundings,44,0.3455
945,Surroundings,45,0.3235
946,Surroundings,46,0.3363
947,Surroundings,47,0.3268
948,Surroundings,48,0.3359
949,Surroundings,49,0.3501
950,Surroundings,50,0.3439
951,Surroundings,51,0.3297
952,Surroundings,52,0.3347
953,Surroundings,53,0.3379
954,Surroundings,54,0.3603
955,Surroundings,55,0.3310
956,Surroundings,56,0.3599
957,Surroundings,57,0.3720
958,Surroundings,58,0.3709
959,Surroundings,59,0.3302
960,Surroundings,60,0.3538
961,Surroundings,61,0.3422
962,Surroundings,62,0.3431
963,Surroundings,63,0.3320
964,Surroundings,64,0.3276
965,Surroundings,65,0.3324
966,Surroundings,66,0.3463
967,Surroundings,67,0.3395
968,Surroundings,68,0.3373
969,Surroundings,69,0.3341
970,Surroundings,70,0.3522
971,Surroundings,71,0.3337
972,Surroundings,72,0.3422
973,Surroundings,73,0.3527
974,Surroundings,74,0.3533
975,Surroundings,75,0.3340
976,Surroundings,76,0.3289
977,Surroundings,77,0.3346
